Content,pair_type,SoundA,SoundB,SoundX,delay,mora
ムロテラ,0-1 pair,stimuli/0-1 pair_murotera1.wav,stimuli/1-3 pair_murotera7.wav,stimuli/0-1 pair_murotera2.wav,1000,4
ムロテラ,0-1 pair,stimuli/1-3 pair_murotera7.wav,stimuli/0-1 pair_murotera1.wav,stimuli/0-1 pair_murotera3.wav,1000,4
ムロテラ,0-1 pair,stimuli/0-1 pair_murotera1.wav,stimuli/1-3 pair_murotera7.wav,stimuli/0-1 pair_murotera4.wav,1000,4
ムロテラ,0-1 pair,stimuli/1-3 pair_murotera7.wav,stimuli/0-1 pair_murotera1.wav,stimuli/0-1 pair_murotera5.wav,1000,4
ムロテラ,0-1 pair,stimuli/1-3 pair_murotera7.wav,stimuli/0-1 pair_murotera1.wav,stimuli/0-1 pair_murotera6.wav,1000,4
ムロテラ,1-3 pair,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera2.wav,1000,4
ムロテラ,1-3 pair,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera3.wav,1000,4
ムロテラ,1-3 pair,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera4.wav,1000,4
ムロテラ,1-3 pair,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera5.wav,1000,4
ムロテラ,1-3 pair,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera6.wav,1000,4
ムロデラ,0-1 pair,stimuli/0-1 pair_murodera7.wav,stimuli/0-1 pair_murodera1.wav,stimuli/0-1 pair_murodera2.wav,1000,4
ムロデラ,0-1 pair,stimuli/0-1 pair_murodera1.wav,stimuli/0-1 pair_murodera7.wav,stimuli/0-1 pair_murodera3.wav,1000,4
ムロデラ,0-1 pair,stimuli/0-1 pair_murodera7.wav,stimuli/0-1 pair_murodera1.wav,stimuli/0-1 pair_murodera4.wav,1000,4
ムロデラ,0-1 pair,stimuli/0-1 pair_murodera7.wav,stimuli/0-1 pair_murodera1.wav,stimuli/0-1 pair_murodera5.wav,1000,4
ムロデラ,0-1 pair,stimuli/0-1 pair_murodera1.wav,stimuli/0-1 pair_murodera7.wav,stimuli/0-1 pair_murodera6.wav,1000,4
ムロデラ,1-3 pair,stimuli/1-3 pair_murotera7.wav,stimuli/1-3 pair_murotera1.wav,stimuli/1-3 pair_murotera2.wav,1000,4
